,points,30,70
0,10,9.829998016357421e-06,2.991199493408203e-05
1,12,1.9943714141845704e-05,5.98454475402832e-05
2,14,7.977724075317383e-05,0.00010029315948486329
3,16,6.978988647460938e-05,0.0001199936866760254
4,18,4.58526611328125e-05,0.00013212919235229493
5,20,8.648157119750977e-05,0.0001991581916809082
6,22,0.00010986089706420899,0.0002745342254638672
7,24,0.00012965917587280274,0.0005194258689880371
8,26,0.00014947175979614257,0.00047709226608276366
9,28,0.00016953468322753907,0.0005150699615478516
10,30,0.0002496814727783203,0.0005461406707763671
11,32,0.00029969215393066406,0.0007794618606567383
12,34,0.0004186153411865234,0.0009224081039428711
13,36,0.00038494348526000975,0.0010362482070922852
14,38,0.0005089616775512695,0.0012872672080993651
15,40,0.0005387663841247559,0.0016244816780090331
16,42,0.00058974027633667,0.0017433977127075196
17,44,0.0007780861854553223,0.0020737552642822264
18,46,0.0008117890357971191,0.002205333709716797
19,48,0.0009177899360656738,0.0025815439224243166
20,50,0.0012064480781555176,0.002891690731048584
21,52,0.0013362669944763184,0.0032310962677001955
22,54,0.0012715744972229004,0.003674163818359375
23,56,0.0014338493347167969,0.004224550724029541
24,58,0.0013664865493774414,0.005005156993865967
25,60,0.0017890453338623047,0.005099153518676758
26,62,0.0018905234336853028,0.005615880489349365
27,64,0.002222146987915039,0.006280081272125244
28,66,0.0024580121040344237,0.007259528636932373
29,68,0.0027028203010559084,0.007451167106628418
