,points,30,70
0,10,1.994450887044271e-05,3.993113835652669e-05
1,12,3.230015436808268e-05,5.655447642008464e-05
2,14,2.549091974894206e-05,9.615580240885417e-05
3,16,3.811836242675781e-05,0.00014084339141845703
4,18,0.00012816747029622397,0.0001880510648091634
5,20,7.384697596232097e-05,0.00023218393325805665
6,22,0.00014437039693196614,0.000321812629699707
7,24,0.00012405554453531902,0.0004122543334960937
8,26,0.00019940694173177083,0.0004643917083740234
9,28,0.00023905992507934572,0.0005942138036092123
10,30,0.0002664915720621745,0.000693041483561198
11,32,0.0003342914581298828,0.0008292611440022786
12,34,0.0003766767183939616,0.001071775754292806
13,36,0.00046285549799601235,0.0011691927909851074
14,38,0.0005941033363342285,0.0014716919263203939
15,40,0.000579680601755778,0.0016998640696207683
16,42,0.0006811396280924479,0.001898970603942871
17,44,0.0007445565859476725,0.0022068405151367187
18,46,0.0008772492408752441,0.0025184528032938637
19,48,0.0009969059626261394,0.0027567863464355467
20,50,0.0011562752723693849,0.003165749708811442
21,52,0.00128387451171875,0.003579521179199219
22,54,0.0013556814193725587,0.004042581717173258
23,56,0.0015296490987141927,0.004420177936553955
24,58,0.0017513219515482585,0.004973267714182536
25,60,0.0018639349937438964,0.005626085599263509
26,62,0.002172854741414388,0.005937048594156901
27,64,0.002434133688608805,0.006617633501688639
28,66,0.0025406964619954426,0.007316313584645589
29,68,0.002837418715159098,0.007901666164398193
