,points,time,error
0,500,0.0002910939992580097,3.6106459897006324e-05
1,700,0.00040820999958668836,5.267336120004966e-05
2,900,0.00046735200041439387,1.6785057270615407e-05
3,1100,0.0005493379995459691,9.115936480154606e-06
4,1300,0.0006145879998803138,5.597646749306592e-06
5,1500,0.0007236920003197156,5.219683426200201e-06
6,1700,0.0008803639997495338,2.475094362972588e-06
7,1900,0.0009962779993657022,4.679150640575723e-06
8,2100,0.0010009379996336065,0.0
9,2300,0.001116329999495065,0.0
10,2500,0.001180188000726048,0.0
11,2700,0.0013086699998530093,0.0
12,2900,0.0013269219994253944,1.9149237668848404e-06
13,3100,0.0013799040000594686,1.6761212319863528e-05
14,3300,0.0014272040000651031,9.022127670324238e-06
